Số báo danh,Toán,Văn,Ngoại Ngữ,Lý,Hoá,Sinh,Sử,Địa lý,GDCD
01000001,3.6,5,2.75,-1,-1,-1,6,4,8.75
01000002,8.4,6.75,8.5,-1,-1,-1,7.5,7.6,8.25
01000003,5.8,7.5,7.25,-1,-1,-1,5.5,5,8.75
01000004,7.4,7.5,7.5,-1,-1,-1,6.5,8.6,7.5
01000005,7.2,8.5,8,-1,-1,-1,8.5,9,8.25
01000006,6.8,8.5,7,-1,-1,-1,7.5,9.4,9.25
01000007,7.2,6,8,-1,-1,-1,7.5,5,9
01000008,8,8,5.25,-1,-1,-1,7,8,7
01000009,2.6,5.25,-1,-1,-1,-1,5.25,6.75,-1
01000010,8.8,8,6.5,-1,-1,-1,6.5,7,6.75
01000011,6.4,8,7.6,3.5,3,7.25,-1,-1,-1
01000012,6.4,7.5,-1,-1,-1,-1,5,8,4.75
01000013,8.2,7.75,7,-1,-1,-1,7.5,6.4,7.75
01000014,5.8,5.5,8.5,-1,-1,-1,8,6.4,-1
01000015,8.6,3.25,9.6,8.25,4.25,7.25,-1,-1,-1
01000016,7.8,8,8.4,4.25,4.75,5.75,-1,-1,-1
01000017,8.6,3.5,7,7,3.75,6.25,-1,-1,-1
01000018,6.2,8.25,6.75,-1,-1,-1,6.5,6.6,8.25
01000019,6.8,7.5,-1,-1,-1,-1,6.25,8,7.25
01000020,-1,6.75,-1,-1,-1,-1,8.5,8,-1
01000021,8,9,-1,-1,-1,-1,6.25,8.75,7
01000022,7.8,8,7.75,-1,-1,-1,6.5,7.6,9.25
01000023,6.8,5.5,6.8,2.5,3,6,-1,-1,-1
01000024,8.6,8.5,9.8,7.75,6.75,6.5,-1,-1,-1
01000025,7.2,6.5,5.8,3,3.75,5.5,-1,-1,-1
01000026,7,2.25,9.8,6.5,3,6,-1,-1,-1
01000027,7.6,6.5,4.8,7.25,6.25,5.75,-1,-1,-1
01000028,8.6,8.75,8,4.75,4.5,7,-1,-1,-1
01000029,8.4,6.5,5.25,-1,-1,-1,9,9.8,6.25
01000030,8.6,7.75,7.6,6.25,3.75,7.5,-1,-1,-1
01000031,7,7.75,6.25,-1,-1,-1,5,8.8,9
01000032,4,7,4.5,-1,-1,-1,5,2.2,5.5
01000033,6.6,6.5,6.5,-1,-1,-1,5.75,5.6,7
01000034,8.2,7,7,-1,-1,-1,6.25,8.4,8
01000035,7.4,6.25,4,-1,-1,-1,6,7.4,8
01000036,7.6,7,5.75,-1,-1,-1,6,8.6,8
01000037,7.6,4.75,7.2,6,4.5,6.5,-1,-1,-1
01000038,6,6,8,-1,-1,-1,6.25,5.6,7.25
01000039,7.8,8.75,6.25,-1,-1,-1,8.5,6.6,8.25
01000040,8,8.25,8,-1,-1,-1,5.5,8.8,7.75
01000041,7.4,8,6,-1,-1,-1,6,7.2,7.5
01000042,5.8,6.5,7.25,-1,-1,-1,4.75,7.2,7.25
01000043,7.2,8,4.8,4.5,3,7.25,-1,-1,-1
01000044,2.6,3,-1,-1,-1,-1,2,4.5,-1
01000045,6,7,6.5,-1,-1,-1,5.5,3.4,7.5
01000046,8,5.5,4.6,7.25,4.75,6.25,-1,-1,-1
01000047,7.2,7.75,7.25,-1,-1,-1,7,7.6,7.5
01000048,8,8.5,8,-1,-1,-1,6.25,9.4,9
01000049,7.8,7.75,7.4,3.75,5.75,7,-1,-1,-1
01000050,7.4,7.25,-1,-1,-1,-1,6,7.25,4.75
01000051,7.8,4,6.4,7,3.25,5,-1,-1,-1
01000052,6.8,8.75,7.25,-1,-1,-1,6.75,9,8.5
01000053,6.2,6.25,6.5,-1,-1,-1,6.75,5.2,8.5
01000054,8.4,8,8.5,-1,-1,-1,8.25,9,9.25
01000055,7,7,5.75,-1,-1,-1,8,9.4,7.5
01000056,2,2.25,3.5,-1,-1,-1,2.75,3.2,3.5
01000057,7.8,8.25,8.25,-1,-1,-1,8.25,8,8
01000058,2.2,5.25,5,-1,-1,-1,3.25,3.4,6.25
01000059,8.2,7.75,9.6,4.5,3.5,6.25,-1,-1,-1
01000060,8.2,7.5,7.2,-1,-1,-1,-1,-1,-1
01000061,5.6,6.5,9.25,-1,-1,-1,7.25,9,8.5
01000062,4.6,6,-1,-1,-1,-1,6.25,6.25,-1
01000063,7.4,6.75,8,-1,-1,-1,6.5,9.2,9
01000064,6.8,8.5,8,-1,-1,-1,8,7.6,8.25
01000065,8.6,8.5,8.25,-1,-1,-1,7.5,8.6,9.25
01000066,7.8,3.5,8.8,7,4.5,6.25,-1,-1,-1
01000067,3,6.5,5,-1,-1,-1,5.75,4.6,-1
01000068,8.6,8,8.75,-1,-1,-1,8.75,8,9
01000069,8.6,4.75,7.4,7,4.5,8,-1,-1,-1
